[2025-06-30 15:19:18,406] numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-06-30 15:19:27,441] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-06-30 15:19:28,786] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-06-30 15:19:28,786] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-06-30 15:19:28,786] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-06-30 15:19:28,787] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-06-30 15:19:35,027] asyncio - DEBUG - Using proactor: IocpProactor
[2025-06-30 15:19:53,287] root - INFO - Entered the run_pipeline method of PredictionPipeline class
[2025-06-30 15:19:53,288] root - INFO - Entered the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:20:06,021] root - INFO - Exited the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:20:06,021] root - INFO - Running the predict function
[2025-06-30 15:20:06,074] h5py._conv - DEBUG - Creating converter from 3 to 5
[2025-06-30 15:20:06,752] root - INFO - Entered into the concat_data_cleaning function
[2025-06-30 15:20:06,758] root - INFO - Exited the concat_data_cleaning function
[2025-06-30 15:20:07,321] root - INFO - Exited the run_pipeline method of PredictionPipeline class
[2025-06-30 15:20:21,309] root - INFO - Entered the run_pipeline method of PredictionPipeline class
[2025-06-30 15:20:21,309] root - INFO - Entered the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:20:29,838] root - INFO - Exited the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:20:29,839] root - INFO - Running the predict function
[2025-06-30 15:20:30,365] root - INFO - Entered into the concat_data_cleaning function
[2025-06-30 15:20:30,366] root - INFO - Exited the concat_data_cleaning function
[2025-06-30 15:20:30,777] root - INFO - Exited the run_pipeline method of PredictionPipeline class
